"Monthly retail trade sales by province and territory (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 20-10-0056-01"
"Release date: 2023-04-21"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
""
""

"North American Industry Classification System (NAICS)","Retail trade  [44-45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales","Total retail sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adjustments","Seasonally adjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberta","6,726,992","6,755,541","6,696,621","6,731,946","6,794,861","6,845,782","6,795,728","6,758,273","6,870,429","6,984,728","6,897,129","6,871,052","6,917,447","6,884,324","6,830,192","6,867,732","7,168,885","7,007,217","6,978,264","6,995,013","7,030,299","6,894,852","7,013,254","7,053,815","6,849,274","6,846,332","7,004,759","7,094,556","7,032,082","6,959,217","7,022,772","7,003,906","6,851,074","6,934,850","6,833,655","7,069,474","7,085,925","6,977,325","6,029,524","5,041,813","6,201,495","7,002,528","7,122,454","6,763,261","7,446,375","7,393,295","7,476,623","7,433,410","7,523,283","7,599,828","7,513,659","7,626,109","7,496,484","7,577,431","7,484,188","7,535,652","7,603,596","7,829,629","7,963,697","7,780,095","7,679,581","7,794,531","7,969,592","7,989,056","8,305,570","8,121,051","8,302,778","8,312,320","8,205,353","8,335,571","8,360,709","8,431,294","8,672,562","8,593,240"
"British Columbia","7,277,591","6,979,447","7,041,783","7,097,179","7,231,238","7,386,505","7,406,444","7,362,373","7,408,205","7,672,275","7,467,284","7,515,551","7,398,388","7,414,089","7,393,743","7,567,765","7,609,988","7,554,814","7,506,840","7,521,946","7,511,801","7,557,942","7,534,630","7,596,712","7,623,010","7,460,788","7,637,540","7,542,317","7,631,488","7,510,125","7,551,448","7,674,922","7,613,130","7,600,067","7,631,816","7,828,135","7,642,483","7,736,031","7,265,885","6,033,912","6,922,822","7,708,518","7,947,731","8,009,786","8,273,288","8,401,041","8,450,358","8,524,584","8,719,832","8,701,420","8,720,633","8,795,086","8,783,883","8,649,690","8,686,801","8,666,924","8,703,469","8,732,561","8,727,947","8,764,794","8,827,284","8,832,092","8,840,646","8,959,229","9,079,182","9,078,781","9,041,067","9,144,939","8,978,529","9,054,851","9,092,190","8,960,346","9,106,187","8,806,259"
"Yukon","66,032","66,066","68,277","66,765","68,089","67,665","69,222","65,792","68,199","74,288","77,164","80,082","72,335","67,627","69,298","72,800","74,277","75,411","75,911","77,065","77,431","72,261","73,982","74,664","73,253","72,012","76,541","78,306","78,740","77,525","78,581","78,648","77,313","76,551","72,850","75,283","77,684","78,694","76,114","65,797","73,441","75,198","77,469","78,255","80,451","84,676","85,732","84,402","83,433","84,665","83,979","84,623","86,091","80,091","81,279","83,592","84,931","85,909","85,246","87,337","86,483","86,471","88,760","88,900","91,332","97,515","92,718","92,845","89,043","90,847","90,625","89,672","95,720","94,581"
"Northwest Territories","65,317","65,745","65,613","63,711","66,732","66,558","66,909","68,227","66,192","67,616","67,956","71,062","70,699","68,003","68,842","69,176","69,689","68,880","68,905","66,643","70,426","68,567","68,362","67,340","69,874","69,771","68,637","67,990","67,294","66,687","65,515","67,379","69,137","68,504","66,971","66,631","68,809","71,584","68,894","62,612","75,116","74,249","78,153","79,255","77,544","77,240","80,479","80,499","80,023","77,909","82,525","81,628","73,538","76,033","77,315","77,007","72,566","76,360","77,647","78,627","74,289","72,514","75,095","76,390","79,560","79,997","75,487","75,755","78,038","78,987","75,116","75,236","79,075","79,411"
"Nunavut","39,696","41,580","34,958","37,019","38,539","38,015","36,182","35,596","36,498","37,371","36,357","36,413","40,353","37,253","36,592","37,425","36,149","38,458","39,414","39,503","39,607","38,957","39,742","39,172","40,793","41,129","41,340","40,988","41,054","40,070","40,694","41,707","40,817","42,343","42,122","41,142","41,221","40,998","42,674","49,899","51,701","49,381","48,593","48,885","48,946","46,755","46,982","50,839","47,617","47,005","46,753","46,843","47,932","47,182","47,806","47,013","46,198","47,210","47,242","48,448","50,130","48,275","46,914","48,635","47,230","47,139","47,341","48,163","48,576","50,578","50,626","49,783","50,278","50,640"

Symbol legend:
A, data quality: excellent
B, data quality: very good

