"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-09","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-10","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-11","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2021-12","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-01","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-02","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-03","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-04","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-05","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-06","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-07","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-08","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-09","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-10","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-11","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2022-12","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2023-01","Canada","2016A000011124","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units","0","v44174613","1.1.5","","..","","","0"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2020-10","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2020-11","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2020-12","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-01","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-02","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-03","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-04","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-05","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-06","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-07","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-08","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-09","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-10","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-11","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2021-12","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-01","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-02","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-03","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-04","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-05","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-06","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-07","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-08","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-09","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-10","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-11","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2022-12","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2023-01","Canada","2016A000011124","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units","0","v44174614","1.1.6","","..","","","0"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours","210","units","0","v1059484832","1.1.11","10606857","","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Total electricity production from combustible fuels","Megawatt hours","210","units","0","v1059484832","1.1.11","9611762","","","","0"
