"Monthly survey of food services and drinking places (x 1,000) 1 2"
"Frequency: Monthly"
"Table: 21-10-0019-01 (formerly CANSIM 355-0006)"
"Release date: 2023-04-26"
"Geography: Canada, Province or territory"
""
""

"North American Industry Classification System (NAICS)","Total, food services and drinking places",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Service detail","Receipts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada 4","4,613,907","4,638,575","4,658,207","4,632,910","4,669,068","4,694,070","4,715,225","4,734,396","4,743,951","4,772,641","4,803,711","4,728,169","4,783,406","4,829,630","4,848,926","4,881,416","4,946,648","4,947,066","4,959,236","5,023,460","5,006,535","5,045,269","5,048,407","5,079,354","5,076,987","5,078,177","5,098,955","5,151,216","5,249,630","5,219,040","5,239,668","5,294,767","5,304,805","5,336,047","5,349,634","5,416,814","5,474,412","5,476,575","5,548,424","5,579,218","5,551,567","5,557,042","5,596,614","5,561,899","5,619,628","5,622,592","5,658,707","5,615,894","5,735,936","5,798,454","5,751,420","5,825,352","5,820,734","5,861,327","5,876,104","5,920,929","5,932,199","5,939,477","5,948,190","5,975,922","5,988,224","6,055,781","6,069,055","6,046,684","6,120,949","6,127,070","6,203,654","6,177,019","6,201,718","6,228,415","6,250,998","6,287,346","6,320,382","6,316,937","6,367,427","6,365,521","6,395,037","6,451,556","6,423,085","6,450,657","6,453,375","6,478,926","6,497,402","6,505,406","6,482,449","6,457,080","4,134,027","2,500,940","3,219,631","4,104,707","4,679,149","4,973,030","5,170,752","4,763,712","4,616,369","4,286,274","4,295,135","4,625,202","5,048,871","4,546,340","4,537,180","5,434,332","5,982,351","6,253,058","6,228,747","6,200,967","6,290,854","6,050,400","5,274,091","6,358,692","6,757,130","6,889,252","7,058,316","7,113,349","7,147,436","7,141,869","7,223,914","7,319,079","7,335,897","7,435,019","7,870,318","7,790,464"
"Newfoundland and Labrador","62,049","63,142","63,493","64,118","64,652","65,118","64,135","65,632","65,471","68,178","67,658","65,046","66,305","65,629","65,227","64,116","64,167","65,129","65,122","66,294","66,090","66,572","67,338","71,589","68,569","68,803","68,938","70,702","70,277","67,608","68,687","68,550","68,765","69,500","71,081","71,418","70,339","70,791","71,069","70,132","70,247","71,070","69,977","69,304","70,599","70,275","69,495","68,493","69,416","69,313","69,392","70,346","70,164","69,857","69,752","70,030","68,852","68,957","68,657","68,139","69,092","69,607","69,583","68,397","69,357","69,080","71,105","69,520","70,202","68,726","68,637","69,804","70,897","70,622","70,727","70,606","70,334","71,371","70,627","70,527","70,423","70,702","70,081","69,726","61,682","68,749","48,139","33,177","43,742","52,494","58,360","60,619","63,144","64,380","66,008","66,689","67,286","52,498","54,761","70,287","69,395","69,100","70,070","74,020","74,338","72,752","74,391","71,013","62,560","70,010","72,826","76,994","78,406","79,086","80,765","80,710","80,128","80,983","80,707","83,599","85,816","85,898"
"Prince Edward Island","18,115","17,632","17,865","17,853","17,775","18,064","17,743","17,771","17,983","17,978","17,865","17,219","17,547","18,449","17,271","17,500","17,990","18,344","18,865","18,612","18,311","18,302","18,709","19,515","18,962","18,897","19,319","20,114","19,426","19,313","19,790","19,982","19,690","20,503","20,216","20,707","20,774","21,109","20,942","20,818","21,017","20,797","20,141","20,230","21,135","21,166","21,981","20,989","21,409","21,412","21,982","22,072","22,125","22,557","22,540","22,903","23,077","23,025","23,074","23,077","23,298","23,298","23,196","23,613","24,182","24,100","24,498","24,296","24,521","24,378","23,921","24,277","24,839","25,204","25,624","25,781","25,920","26,235","26,272","26,381","26,555","26,593","26,800","27,065","26,124","25,867","F","F","15,937","19,197","19,406","19,820","22,107","23,555","24,539","22,405","25,366","25,402","25,633","26,207","25,950","25,472","26,507","27,474","27,705","27,631","27,985","26,705","22,793","27,468","29,077","30,902","31,860","31,903","33,712","33,177","33,039","33,853","33,468","34,106","35,051","35,369"
"Nova Scotia","113,486","112,223","114,726","111,877","113,127","112,260","113,068","112,191","113,066","112,254","112,718","109,545","113,243","116,458","114,301","115,770","117,949","119,556","120,422","121,238","120,145","119,460","119,829","122,810","119,351","117,489","120,928","125,458","126,822","124,043","126,497","125,610","125,269","126,957","128,694","129,810","129,986","131,718","132,230","131,081","130,931","133,330","130,417","132,340","135,187","135,029","133,570","133,280","135,988","134,377","135,547","137,566","137,834","140,497","140,565","139,077","139,640","140,426","141,490","141,551","141,866","143,332","143,099","141,398","141,335","141,525","141,921","143,000","142,733","142,492","142,340","142,454","144,845","144,328","145,268","146,138","147,208","146,943","148,315","148,689","148,175","147,326","147,414","148,095","145,451","144,274","96,306","62,965","81,914","110,646","116,159","116,925","122,495","127,997","126,265","111,263","128,900","131,944","131,686","131,356","101,285","131,941","139,197","145,726","150,248","146,571","152,165","141,120","126,064","146,073","157,322","162,491","166,351","167,690","170,147","168,479","168,324","172,972","175,238","178,063","184,908","181,624"
"New Brunswick","84,883","82,892","84,463","82,733","82,338","84,041","83,327","83,467","84,512","84,582","85,130","81,527","84,810","86,022","83,927","86,786","88,013","86,479","87,754","87,551","86,459","86,983","87,501","90,702","88,375","89,728","90,753","91,895","92,375","93,429","94,650","94,448","95,323","96,634","96,958","97,530","98,598","97,875","98,951","99,631","100,127","99,570","98,293","98,542","98,884","99,157","98,673","97,780","102,647","100,362","100,663","101,636","100,064","100,859","100,941","102,053","102,299","102,162","103,050","101,921","102,659","103,343","102,728","101,472","103,067","102,744","104,110","103,461","104,713","104,333","103,831","105,306","105,037","105,574","106,205","105,782","106,152","107,228","106,735","107,351","106,481","106,322","106,068","105,923","107,476","104,877","71,397","54,913","72,726","84,736","87,167","89,851","94,059","92,253","92,798","90,839","82,647","91,243","95,748","98,302","99,874","100,207","102,262","106,391","106,153","102,721","106,419","104,682","89,231","107,666","111,053","116,001","116,740","116,558","118,773","118,270","118,416","120,830","120,846","121,886","126,382","127,396"
"Quebec","896,917","913,716","923,128","912,921","920,185","922,846","919,345","913,678","907,655","911,290","918,451","904,081","916,212","920,513","915,986","920,991","932,367","931,268","930,129","934,692","923,979","934,736","930,320","927,722","926,298","913,518","926,975","938,651","975,363","966,102","962,440","975,015","979,796","977,881","983,743","999,673","1,022,372","1,018,661","1,034,714","1,050,204","1,035,880","1,027,274","1,041,210","1,034,723","1,052,326","1,055,617","1,060,132","1,057,332","1,082,475","1,084,748","1,073,169","1,097,129","1,093,275","1,101,795","1,112,129","1,124,447","1,117,337","1,125,673","1,129,318","1,124,275","1,122,638","1,131,767","1,151,454","1,144,468","1,158,591","1,159,439","1,187,266","1,175,422","1,178,477","1,182,987","1,179,763","1,203,170","1,195,045","1,208,632","1,222,218","1,221,359","1,227,797","1,250,762","1,235,530","1,251,159","1,263,898","1,263,900","1,275,732","1,280,689","1,296,009","1,270,129","758,726","409,559","555,149","710,953","910,449","974,181","1,016,753","774,230","776,952","751,075","741,915","803,976","853,482","830,192","837,858","1,080,486","1,178,521","1,219,769","1,206,871","1,228,708","1,243,161","1,174,667","916,433","1,219,015","1,308,826","1,321,166","1,360,425","1,367,015","1,372,043","1,389,583","1,417,971","1,439,985","1,458,772","1,481,086","1,524,462","1,516,059"
"Ontario","1,766,049","1,750,249","1,777,686","1,752,750","1,766,450","1,781,423","1,784,293","1,799,942","1,796,742","1,809,268","1,818,677","1,791,923","1,804,444","1,845,122","1,848,485","1,858,988","1,894,977","1,889,496","1,894,564","1,925,618","1,932,723","1,933,899","1,930,640","1,949,646","1,960,106","1,944,462","1,964,743","1,994,121","2,052,824","2,025,341","2,031,150","2,063,194","2,064,998","2,092,021","2,094,753","2,114,734","2,132,643","2,145,070","2,164,273","2,172,498","2,164,944","2,161,351","2,200,079","2,181,322","2,202,149","2,205,213","2,214,440","2,196,194","2,246,119","2,284,116","2,252,593","2,283,831","2,286,116","2,303,784","2,305,977","2,314,367","2,335,465","2,325,274","2,342,506","2,357,477","2,383,309","2,425,052","2,411,915","2,398,740","2,420,846","2,432,095","2,457,653","2,450,068","2,464,542","2,487,663","2,496,679","2,511,348","2,511,068","2,525,110","2,537,072","2,534,827","2,542,713","2,561,743","2,551,770","2,563,402","2,550,084","2,561,997","2,568,336","2,568,073","2,567,999","2,557,115","1,636,119","957,274","1,185,061","1,418,872","1,708,439","1,854,779","1,921,849","1,793,371","1,782,711","1,623,682","1,537,907","1,697,623","1,943,402","1,648,639","1,656,342","1,973,395","2,260,060","2,385,472","2,412,206","2,394,691","2,435,139","2,335,661","1,929,744","2,464,954","2,647,459","2,693,770","2,763,128","2,796,572","2,808,639","2,781,226","2,785,427","2,860,361","2,862,320","2,888,036","3,058,703","3,070,173"
"Manitoba","128,239","130,835","133,553","132,768","132,512","135,512","136,075","136,914","137,951","137,381","141,526","138,736","139,741","136,168","137,112","138,939","140,313","139,843","141,923","142,658","141,455","145,224","144,462","144,239","145,765","145,887","144,271","146,278","146,655","147,070","148,408","150,599","151,875","155,807","156,768","158,403","160,024","160,578","163,718","163,159","163,442","165,747","165,685","163,762","167,278","165,345","167,040","166,074","167,328","171,307","170,229","170,385","170,175","171,869","170,747","172,954","171,996","170,489","170,633","172,547","172,700","173,313","173,814","174,641","176,664","175,378","174,837","176,356","177,909","178,557","179,980","178,381","179,567","181,105","180,792","180,794","182,064","181,780","183,373","182,859","181,948","182,801","182,998","183,175","180,976","180,350","132,251","95,045","115,468","151,654","159,787","153,651","160,869","143,084","115,516","119,836","129,400","138,824","157,922","160,761","143,441","144,724","174,240","181,207","181,992","177,555","176,280","173,294","154,740","170,647","196,082","199,030","203,140","203,098","202,702","202,142","204,150","203,595","206,703","207,894","217,030","215,932"
"Saskatchewan","144,744","146,265","143,481","143,337","143,575","143,451","145,172","145,615","147,610","148,154","152,842","145,274","147,714","149,099","148,659","150,537","151,174","150,361","151,458","152,831","148,962","154,709","153,964","153,119","154,923","153,558","155,498","154,473","155,739","157,609","158,412","155,993","157,020","158,925","156,938","159,100","160,510","160,663","161,476","163,258","162,141","163,571","161,371","160,312","161,444","159,480","163,432","162,158","163,618","167,068","164,018","162,421","161,380","160,702","159,077","161,302","162,195","162,462","163,622","163,852","159,726","159,563","158,962","159,866","162,201","161,834","163,701","165,086","164,035","161,367","160,356","161,365","162,836","160,857","162,580","161,622","162,025","161,566","162,475","161,022","159,557","161,716","161,355","161,504","161,834","160,250","110,254","80,523","104,245","130,045","142,634","146,737","153,133","146,610","135,929","134,704","141,605","141,854","146,003","143,626","150,838","163,017","167,965","168,578","168,305","163,006","166,152","162,224","158,212","169,494","172,649","180,020","186,276","183,170","183,815","182,459","185,899","187,325","192,488","196,433","204,425","201,553"
"Alberta","690,092","699,284","681,477","688,232","694,062","691,183","708,657","706,250","715,473","717,815","719,462","704,500","718,457","720,782","732,780","743,784","744,523","751,853","747,274","752,233","757,433","772,072","767,831","766,490","764,215","762,998","765,488","762,063","761,946","763,368","767,105","768,516","766,982","757,887","760,283","764,275","761,343","760,389","768,275","764,783","765,004","768,562","761,571","762,974","757,992","756,230","768,699","761,997","778,328","787,455","778,911","787,440","785,132","782,750","783,739","792,681","789,029","793,337","787,171","793,827","787,659","788,621","793,583","795,615","807,178","802,158","810,129","802,466","805,629","802,294","808,334","809,405","819,222","804,802","818,535","817,405","821,781","832,666","831,340","833,679","830,956","833,246","828,452","832,397","813,752","819,076","533,406","356,076","472,472","620,070","642,617","687,307","705,619","684,478","636,348","528,783","533,983","627,013","698,763","622,068","568,365","729,756","787,083","844,441","795,318","774,500","785,621","752,743","743,638","816,848","854,527","870,780","896,298","908,944","924,380","926,901","940,227","930,539","912,437","934,603","976,908","972,112"
"British Columbia","696,012","708,690","705,060","709,886","720,643","725,449","729,716","739,366","745,127","752,538","755,821","756,777","761,360","757,811","771,655","770,959","782,031","781,485","787,857","808,646","797,636","800,325","814,476","820,383","817,610","849,746","827,444","833,800","834,551","841,517","849,012","858,586","860,941","865,277","866,018","887,029","903,394","895,815","918,814","929,299","923,662","931,757","933,559","923,904","938,127","940,836","946,973","936,594","953,684","963,289","970,447","977,680","979,779","991,844","996,074","1,006,770","1,008,143","1,013,475","1,005,307","1,015,735","1,012,000","1,024,574","1,026,932","1,024,942","1,043,723","1,044,564","1,054,506","1,053,114","1,054,426","1,061,236","1,072,339","1,066,904","1,091,812","1,075,820","1,083,236","1,086,235","1,093,897","1,096,389","1,091,781","1,090,630","1,100,354","1,109,000","1,114,631","1,113,444","1,106,255","1,111,294","721,514","430,796","562,851","794,874","821,914","856,852","897,836","900,819","846,373","824,522","892,812","901,805","927,645","801,429","870,512","1,002,368","1,062,132","1,085,401","1,091,560","1,098,836","1,109,645","1,094,333","1,058,128","1,153,182","1,193,413","1,222,454","1,239,981","1,243,711","1,236,840","1,243,584","1,274,582","1,273,326","1,277,539","1,293,190","1,439,934","1,368,337"
