Date,"St. John's, Newfoundland (792) 1","Halifax, Nova Scotia (0348) 1","Moncton, New Brunswick (0539) 1","Quebec, Quebec (0685) 1","Trois-Rivieres, Quebec (0953) 1","Sherbrooke, Quebec (0758) 1","Montreal, Quebec (0547) 1","Ottawa, Ontario (0616) 1","Hamilton, Ontario (0349) 1","Kitchener, Ontario (0419) 1","St. Catharines - Niagara Falls, Ontario (0788) 1","Barrie, Ontario (0043) 1","London, Ontario (0480) 1","Milton, Ontario (0532) 1","Toronto, Ontario (0944) 1","Kingston, Ontario (0415) 1","Kanata, Ontario (0399) 1","Guelph, Ontario (0343) 1","Oshawa, Ontario (0614) 1","Windsor, Ontario (1032) 1","Winnipeg, Manitoba (1036) 1","Saskatoon, Saskatchewan (0738) 1","Regina, Saskatchewan (0698) 1","Calgary, Alberta (0115) 1","Edmonton, Alberta (0252) 1","Abbotsford, British Columbia (1048) 1","Kelowna, British Columbia (0403) 1","White Rock, British Columbia (1021) 1","Vancouver, British Columbia (0973) 1","Victoria, British Columbia (0984) 1"
2023-01-23,386,208.91,421.68,361.25,371.72,468.45,297.07,222.58,216.41,329.99,363.3,300.37,349.72,314.54,262.89,316.32,286.08,312.99,261.31,317.85,310.6,297.46,449.6,350.57,297.66,348.62,450.7,447.44,276.15,262.28
2023-01-30,418.79,210.98,424.4,334.32,353.34,427.44,290.93,227.16,191.75,313.82,327.13,277.33,340.13,295.85,246.57,292.74,277.07,285.12,249.36,297.9,319.32,303.37,451.51,325.09,295.71,321.67,438.42,448.61,270.31,280.76
2023-02-06,248.83,171.71,394.29,279.99,323.15,367.2,224.24,185.69,203.66,330.41,271.12,257.4,222.22,346.46,215.98,421.51,307.67,278.51,260.22,293.76,317.97,302.72,420.46,326.16,278.43,438.03,440.61,439.94,243.81,187.35
2023-02-13,241.55,163.05,361.62,250.23,314.81,400.24,209.99,178.85,180.05,311.41,374.04,253.87,224.28,320.79,197.31,376.44,308.88,265.7,246.31,273.99,315.68,283.96,416.15,329.12,272.77,412.45,426.67,444.68,247.25,178.13
2023-02-20,186.13,160.01,370.05,291.6,332.48,406.63,256.88,193.9,183.48,312.39,366.09,262.95,214.9,331.42,213.67,384.89,343.91,259.73,262.11,279.22,277.26,279.25,414.92,346.75,263.45,402.79,435.71,489.98,277.76,202.17
2023-02-27,361.69,227.82,428.51,359.6,379.26,489.45,256.36,223.48,187.5,342.64,386.82,280.09,246.34,325.92,230.66,418.6,362.98,292.95,268.95,339.15,335.61,327.91,524.03,363.31,314.62,432.51,452.81,470.16,272.75,243.85
2023-03-06,338.63,186.08,375.67,347.1,315.77,394.53,223.43,199.88,182.8,314.68,362.93,279.31,226.94,305.92,207.84,359.3,306.25,260.09,247.47,286.23,303.46,297.15,457.72,343.36,295.67,358.23,377.43,376.22,236.11,208.52
2023-03-13,294.84,180.62,347.27,281.01,346.72,430.66,194.46,191.07,177.35,316.73,320.95,260.7,226.85,275.84,208.22,347.64,305.49,250.68,239.79,279.71,273.72,260.79,398.64,316.49,257.8,328.64,341.4,363.82,232.04,200.21
2023-03-20,352.09,218.93,427.92,398.41,406.18,491.67,277.41,240.21,233.44,388.19,434.34,332.63,258.88,364.91,259.53,432.59,389.42,326.67,304.09,349.69,360.12,315.95,519.94,410.24,332.19,428.19,428.39,427.27,297.32,249.26
2023-03-27,311.52,211.18,399.65,373.35,366.51,482.79,270.79,237.41,222.88,399.72,417.34,309.07,266.83,344.07,253.74,401.56,374.69,300.88,306.32,359.38,341.25,300.47,457.13,393.42,318.05,426.08,392.34,486.96,282.34,230.71
2023-04-03,477.58,200.39,416.02,360.89,370.99,456.47,280.92,255.05,225.45,427.53,401.56,321.34,270.68,353.81,257.39,389.24,374.02,307.14,299.14,355.25,347.78,296.15,475.59,404.54,333.62,471,224.78,506.1,292.56,229.1
2023-04-10,547.03,189.6,420.79,331.55,367.63,426.7,277.42,240.02,215.4,388.47,326.62,320.04,258.78,346.29,255.38,362.39,352.32,296.36,289.64,353.51,325.07,263.28,445.41,394.85,316.8,417.67,238.11,445.58,286.44,229.06
2023-04-17,606.62,218.11,442.13,281.41,384.46,443.15,288.99,249.34,224.84,415.94,359.92,344.2,278.07,380.5,258.93,405.99,402.35,337.61,307.7,375.58,349.53,280.5,486.37,409.03,332.26,442.22,226.28,479.93,295.66,234.48
