Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2021-12-27,165.5,168.61,166.81,183.39,182.84
2022-01-03,181.44,197.21,189.18,211.31,200.87
2022-01-10,181.07,147.51,168.92,179.8,191.74
2022-01-17,186.23,134.44,165.28,191.11,187.75
2022-01-24,182.73,122.53,147.02,192.15,193.66
2022-01-31,207.16,142.83,167.11,196.03,193.33
2022-02-07,173.6,139.77,151.98,195.86,185.69
2022-02-14,163.33,122.35,145.64,206.11,193.48
2022-02-21,178.54,109.73,155.54,212.57,215.87
2022-02-28,198.72,154.12,185.8,239.94,231.33
2022-03-07,203.47,147.18,180.7,221.65,194.22
2022-03-14,208.28,136.06,167.37,215.12,180.92
2022-03-21,258.07,188.91,218.72,273.97,233.63
2022-03-28,257.8,181.06,207.71,258.34,227.63
2022-04-04,254.83,184.68,208.8,273.25,231.24
2022-04-11,259.86,184.29,215.98,277.94,240.48
2022-04-18,266.25,197.6,213.34,276.76,242.61
2022-04-25,276.21,195.05,220.83,263.03,230.82
2022-05-02,284.04,180.98,213.89,269.31,219.92
2022-05-09,243.61,178.12,205.72,266.8,200.63
2022-05-16,222.37,168.87,212.2,267.83,205.37
2022-05-23,237.29,176.19,214.15,328.06,212.87
2022-05-30,255.72,183.07,213,318.08,212.22
2022-06-06,255.57,186.54,228.98,316.02,215.23
2022-06-13,262.49,194.69,235.18,316.92,233.27
2022-06-20,246.53,214.57,222.65,321.02,219.11
2022-06-27,209.8,225.05,219.85,309.55,221.25
2022-07-04,216.67,234.43,216.83,289.6,217.23
2022-07-11,215.87,212.92,208.7,311.5,211.77
2022-07-18,214.75,222.85,215.22,306.57,220.08
2022-07-25,250.08,221.18,215.42,299.15,216.45
2022-08-01,272.32,235.03,215.13,310.88,214.21
2022-08-08,234.47,228.59,213.36,300.35,221.55
2022-08-15,254.04,245.82,222.13,323.03,235.7
2022-08-22,249.33,256.02,233.11,334.28,244.38
2022-08-29,273.51,248.5,226.23,339.2,244.03
2022-09-05,252.7,260.69,237.97,338.78,242.15
2022-09-12,240.67,267.25,243.14,345.03,243.34
2022-09-19,237.45,251.8,218.32,364.23,262.37
2022-09-26,229.48,247.73,217.77,310.51,242.2
2022-10-03,254.54,241.19,217.86,325.04,229.33
2022-10-10,233.43,252.46,225.54,339.69,238.22
2022-10-17,231.91,240.18,268.72,328.34,234
2022-10-24,251.22,248.44,227.61,341.03,254.16
2022-10-31,280.95,271.96,250.25,379.76,272.74
2022-11-07,266.86,260.53,254.67,321.95,269.75
2022-11-14,257.12,264.02,244.16,320.15,260.94
2022-11-21,265.71,272.31,255.81,340.15,275.56
2022-11-28,238.49,240.49,238.23,329.12,264.13
2022-12-05,284.73,252.6,256.37,371.17,251.25
2022-12-12,247.82,246.18,262.65,345.82,262.21
2022-12-19,242.6,240.78,242.34,368.45,254.5
2022-12-26,218.77,218.57,214.94,297.67,194.15
2023-01-02,279.38,273.95,275.89,406.47,314.16
2023-01-09,273.59,219.3,251.42,347.37,300.62
2023-01-16,279.44,210.16,247.3,348.85,277.87
2023-01-23,297.07,222.58,262.89,350.57,276.15
2023-01-30,290.93,227.16,246.57,325.09,270.31
2023-02-06,224.24,185.69,215.98,326.16,243.81
2023-02-13,209.99,178.85,197.31,329.12,247.25
2023-02-20,256.88,193.9,213.67,346.75,277.76
2023-02-27,256.36,223.48,230.66,363.31,272.75
2023-03-06,223.43,199.88,207.84,343.36,236.11
2023-03-13,194.46,191.07,208.22,316.49,232.04
2023-03-20,277.41,240.21,259.53,410.24,297.32
2023-03-27,270.79,237.41,253.74,393.42,282.34
2023-04-03,280.92,255.05,257.39,404.54,292.56
2023-04-10,277.42,240.02,255.38,394.85,286.44
2023-04-17,288.99,249.34,258.93,409.03,295.66
