"Labour force characteristics, three-month moving average, unadjusted for seasonality c 1"
"Frequency: Monthly"
"Table: 14-10-0378-01"
"Release date: 2023-04-06"
"Geography: Census metropolitan area, Census metropolitan area part"
""
""

"Labour force characteristics","Unemployment rate 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography 3 4","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ottawa-Gatineau, Ontario/Quebec","9.8","8.7","7.8","6.6","6.3","6.5","6.3","6.4","6.4","7.2","7.6","7.3","6.9","6.0","5.2","3.8","3.5","4.2","4.5","4.7","4.2","4.2","3.9","4.0","4.3","4.5","4.1","3.6","3.3","3.4","3.8","4.2"
"Ottawa-Gatineau, Quebec part, Ontario/Quebec","8.6","8.3","7.8","6.7","6.4","7.2","7.6","7.7","6.9","6.4","5.8","4.9","4.9","4.4","3.8","3.1","3.4","4.6","4.7","4.4","3.1","3.1","2.9","3.3","3.8","4.3","4.2","3.6","3.3","3.6","4.5","4.8"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec","10.1","8.8","7.8","6.6","6.3","6.3","5.9","6.0","6.2","7.5","8.1","7.9","7.4","6.5","5.7","4.0","3.6","4.1","4.5","4.8","4.5","4.5","4.2","4.2","4.4","4.5","4.1","3.7","3.3","3.3","3.6","4.0"
"Kingston, Ontario","10.9","10.0","8.9","6.7","5.3","6.2","7.0","7.2","6.8","8.0","8.6","9.0","8.6","8.7","7.6","6.0","5.4","5.5","5.7","6.0","5.6","6.0","5.4","5.5","5.6","5.6","5.5","4.9","4.8","5.0","4.7","4.9"
"Belleville, Ontario","13.2","11.2","8.5","3.3","x","4.1","8.3","11.4","13.1","11.2","10.2","9.6","7.5","7.8","6.7","7.0","4.6","3.3","2.6","x","x","x","x","3.5","4.4","5.1","4.3","4.2","5.3","6.1","5.5","5.1"
"Peterborough, Ontario 5","10.6","12.0","12.5","10.4","10.8","11.0","12.5","10.6","7.7","6.3","6.4","7.3","6.3","6.3","6.3","7.7","7.8","7.6","5.8","4.5","3.4","5.4","5.5","6.5","5.5","5.6","4.3","3.1","2.3","4.0","4.3","5.8"
"Oshawa, Ontario","11.9","10.1","8.9","8.0","7.6","8.8","8.6","8.7","7.6","8.4","8.4","8.4","8.7","8.2","7.7","5.8","5.9","6.3","6.1","5.7","4.7","4.8","4.7","5.1","6.1","6.4","6.1","4.9","4.3","4.1","4.2","4.6"
"Toronto, Ontario","14.4","13.3","11.5","10.2","10.0","10.7","11.2","10.6","9.9","10.0","10.4","10.4","9.9","9.4","8.5","7.4","6.7","7.2","7.1","7.1","6.2","6.3","6.3","6.3","6.5","6.5","6.5","6.1","5.6","5.5","5.3","5.6"
"Hamilton, Ontario","12.3","10.7","9.6","7.3","6.7","6.3","7.5","7.2","7.8","7.8","8.1","7.7","7.9","7.4","6.9","5.5","4.9","4.6","4.9","5.5","5.3","5.2","4.9","4.8","5.1","5.2","5.1","4.4","4.1","4.5","5.2","5.5"
"St. Catharines-Niagara, Ontario","12.9","9.4","7.6","7.0","9.5","12.5","13.8","13.8","13.3","12.0","12.1","10.7","10.5","8.2","7.3","7.4","7.6","8.2","7.5","7.7","6.3","5.3","4.0","4.0","4.8","5.0","5.2","4.3","4.3","4.4","4.8","5.2"
