Date,Montreal,Ottawa,Toronto,Calgary,Vancouver
2020-08-01,100,100,100,100,100
2020-09-01,94.36,101.68,108.34,111.5,104.03
2020-10-01,112,106.1,113.62,123.23,113.22
2020-11-01,125.21,117.95,127.1,138.91,135.26
2020-12-01,148.89,138.4,131.72,147.17,140.5
2021-01-01,157.77,145.31,138.18,142.01,167.14
2021-02-01,172.55,113.28,136.84,139.47,166.65
2021-03-01,155.57,113.5,117.12,148.99,154.85
2021-04-01,200.15,144.26,146.84,178.55,172.41
2021-05-01,214.39,118.26,142.24,174.44,165.22
2021-06-01,200.91,122,152.95,170.59,159.77
2021-07-01,223.74,181.09,167.61,197.38,178.72
2021-08-01,218.04,205.96,167.66,211.6,191.44
2021-09-01,210.43,222.13,182.11,240.9,211.4
2021-10-01,208.47,199.3,178.98,213.07,206.33
2021-11-01,226.47,192.47,184.65,208.1,200.88
2021-12-01,219.24,194.54,184.76,217.26,201.29
2022-01-01,187.15,175.37,182.52,202.45,197.85
2022-02-01,187.43,134.89,157.85,193.79,190.11
2022-03-01,186.01,133.34,166.92,220.07,208.72
2022-04-01,244.74,172.68,200.65,255.17,218.35
2022-05-01,265.99,187.21,213.95,270.77,226.89
2022-06-01,242.74,178.67,217.08,307.5,211.42
2022-07-01,233.87,217.18,223.63,309.27,222.72
2022-08-01,237.5,224.11,213.57,305.69,216.81
2022-09-01,257.4,252.76,229.86,333.82,241.56
2022-10-01,239.11,252.09,224.53,336.9,243.09
2022-11-01,257.74,255.28,250.31,342.77,257.66
2022-12-01,261.51,257.36,248.64,340.15,262.97
2023-01-01,252.43,239.76,249.45,353.16,265.13
2023-02-01,272.92,211.4,243.18,337.67,267.03
2023-03-01,236.67,199.03,212.37,345.64,258.47
2023-04-01,247.55,222.9,240.5,373.38,270.57
